0.842574 	 13697.915455 	 0.025428 	 1 	 1 	 121.79 	 + 		 [1, 5, 8, 9, 10, 11, 12, 14, 15, 16, 17, 22, 23, 24, 25, 36, 37]
0.329195 	 13547.606001 	 0.132769 	 2 	 1 	 47.47 	 + 		 [4, 5, 6, 7, 8, 17, 22]
0.309910 	 13417.029371 	 0.101700 	 3 	 1 	 35.48 	 + 		 [9, 11, 16, 24, 28, 29, 31, 35]
0.211161 	 13297.272220 	 0.189271 	 4 	 1 	 16.90 	 + 		 [11, 12, 13, 15, 16]
0.152422 	 13228.191755 	 0.098873 	 5 	 1 	 21.86 	 + 		 [2, 5, 7, 8, 14, 18, 25]
0.147934 	 13167.361029 	 0.059322 	 6 	 1 	 33.92 	 + 		 [8, 9, 10, 11, 16, 20, 26, 28, 29, 33]
0.127812 	 13117.416999 	 0.062153 	 7 	 1 	 68.92 	 + 		 [12, 13, 14, 27, 32, 35, 36, 38]
0.098206 	 13068.287729 	 0.112998 	 8 	 1 	 172.10 	 + 		 [0, 10, 12, 16, 24, 38]
0.081384 	 12994.944741 	 0.115819 	 8 	 2 	 0.00 	 + 		 [19, 21]
0.020703 	 12989.992271 	 0.005649 	 8 	 2 	 0.00 	 + 		 [19, 21, 30, 34]
