Node identifier 1,Bodysite 1,Clade 1,Node  identifier 2,Bodysite 2,Clade 2,Houston p-value Spearman,Houston p-value Pearson,Houston p-value Bray-Curtis,Houston p-value Kullback-Leibler,St.Louis p-value Spearman,St.Louis p-value Pearson,St.Louis p-value Bray-Curtis,St.Louis p-value Kullback-Leibler,Houston p-value GBLM,St.Louis p-value GBLM,Fisher-merge p-value,Houston GBLM beta,St.Louis GBLM beta,Houston Spearman interaction type,Houston Pearson interaction type,Houston Bray-Curtis interaction type,Houston Kullback-Leibler interaction type,St.Louis Spearman interaction type,St.Louis Pearson interaction type,St.Louis Bray-Curtis interaction type,St.Louis Kullback-Leibler interaction type,Simes-merge p-value,Fisher-merge FDR-corrected p-value,Simes-merge FDR-corrected p-value,Number of dataset- or method-specific networks supporting relationship,Direction,Relationship between the same clade in different bodysites,Relationship within the same bodysite,GBLM supports relationship,"Ensemble (Pearson, Spearman, KLD or BC) supports relationship"
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Veillonellaceae-Megasphaera,Tongue-dorsum,Veillonellaceae-Megasphaera,None,None,None,None,"0,0046643725",None,None,None,"7,12E-11",None,"9,88E-12","-0,0228702",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"7,12E-10","1,72E-09","1,18E-07",2,-2,0,1,1,1
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Prevotellaceae-Prevotella,Tongue-dorsum,Prevotellaceae-Prevotella,None,None,None,None,"0,0022006958","9,07E-05",None,None,None,"1,61E-09","2,16E-13",NA,"-0,116257",nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"1,61E-08","4,75E-11","2,03E-06",3,-3,,,,
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Flavobacteriaceae-unclassified,Tongue-dorsum,Flavobacteriaceae-unclassified,None,None,None,None,None,None,None,None,"1,68E-08","1,61E-09","1,06E-15","0,202426","0,0742583",nan,nan,nan,nan,nan,nan,nan,nan,"1,61E-08","3,11E-13","2,03E-06",2,2,,,,0
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Bacteroidales-Prevotellaceae,Tongue-dorsum,Bacteroidales-Prevotellaceae,None,None,None,None,"0,0035544418","0,0001142179",None,None,None,"1,61E-09","4,23E-13",NA,"-0,0322786",nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"1,61E-08","8,94E-11","2,03E-06",3,-3,,,,1
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Firmicutes-Clostridia,Tongue-dorsum,Firmicutes-Clostridia,None,None,None,None,"0,0042249516","9,45E-05",None,None,None,"1,61E-09","4,16E-13",NA,"-0,201018",nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"1,61E-08","8,81E-11","2,03E-06",3,-3,,,,
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Coriobacteriales-Coriobacteriaceae,Tongue-dorsum,Coriobacteriales-Coriobacteriaceae,None,None,None,None,"0,0014518514",None,None,None,"1,70E-19",None,"1,25E-20","-0,041988",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"1,70E-18","6,73E-18","9,07E-16",2,-2,,,,
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Clostridia-Clostridiales,Tongue-dorsum,Clostridia-Clostridiales,None,None,None,None,"0,0039584917","0,0001020758",None,None,None,None,"6,35E-06",NA,NA,nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"0,0010207583","0,0003646428","0,0407651295",2,-2,,,0,
Tongue_dorsum|Staphylococcaceae-Gemella,Tongue-dorsum,Staphylococcaceae-Gemella,Tongue_dorsum|Coriobacteriaceae-Atopobium,Tongue-dorsum,Coriobacteriaceae-Atopobium,None,None,None,None,"0,0013746859",None,None,None,"1,39E-16","5,64E-09","2,14E-24","-0,0421402","-0,152035",nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"1,39E-15","1,75E-21","4,92E-13",3,-3,,,1,
Stool|Oxalobacteraceae-unclassified,Stool,Oxalobacteraceae-unclassified,Stool|Oxalobacteraceae-Oxalobacter,Stool,Oxalobacteraceae-Oxalobacter,None,None,None,None,None,None,None,None,"3,37E-05","0,00168777","1,01E-06","0,407886","0,175026",nan,nan,nan,nan,nan,nan,nan,nan,"0,000337034","7,09E-05","0,0159460875",2,2,,,,0
R_Antecubital_fossa|Burkholderiaceae-Ralstonia,R-Antecubital-fossa,Burkholderiaceae-Ralstonia,R_Antecubital_fossa|Burkholderiales-Comamonadaceae,R-Antecubital-fossa,Burkholderiales-Comamonadaceae,None,None,None,None,"0,0157086288",None,None,None,None,"0,000116422","2,60E-05",NA,"0,137856",nan,nan,nan,nan,copresence,nan,nan,nan,"0,00116422","0,0012444768","0,0454569392",2,2,,,,1
R_Antecubital_fossa|Burkholderiaceae-Ralstonia,R-Antecubital-fossa,Burkholderiaceae-Ralstonia,R_Antecubital_fossa|Comamonadaceae-Pelomonas,R-Antecubital-fossa,Comamonadaceae-Pelomonas,None,None,None,None,"0,0039827648",None,None,None,None,"5,27E-05","3,44E-06",NA,"0,16742",nan,nan,nan,nan,copresence,nan,nan,nan,"0,00052682","0,0002124482","0,0233164547",2,2,,,,
Supragingival_plaque|Actinomycetales-Corynebacteriaceae,Supragingival-plaque,Actinomycetales-Corynebacteriaceae,Tongue_dorsum|Streptococcaceae-Streptococcus,Tongue-dorsum,Streptococcaceae-Streptococcus,None,None,None,None,None,None,None,None,"3,52E-19","0,0108032","1,83E-19","0,0154103","0,0136819",nan,nan,nan,nan,nan,nan,nan,nan,"3,52E-18","8,62E-17","1,79E-15",2,2,,0,,0
Supragingival_plaque|Actinomycetales-Corynebacteriaceae,Supragingival-plaque,Actinomycetales-Corynebacteriaceae,Subgingival_plaque|Fusobacteriales-Leptotrichiaceae,Subgingival-plaque,Fusobacteriales-Leptotrichiaceae,None,None,None,None,None,None,None,None,"3,83E-15","0,0119614","1,77E-15","0,156201","0,0542044",nan,nan,nan,nan,nan,nan,nan,nan,"3,83E-14","4,99E-13","1,12E-11",2,2,,,,
Supragingival_plaque|Actinomycetales-Corynebacteriaceae,Supragingival-plaque,Actinomycetales-Corynebacteriaceae,Subgingival_plaque|Actinomycetales-Corynebacteriaceae,Subgingival-plaque,Actinomycetales-Corynebacteriaceae,None,None,None,None,"0,0693189442",None,None,None,"2,42E-17","0,0119614","2,16E-17","0,0139482","0,060482",nan,nan,nan,nan,copresence,nan,nan,nan,"2,42E-16","7,85E-15","9,62E-14",3,3,1,,,1
Supragingival_plaque|Actinomycetales-Corynebacteriaceae,Supragingival-plaque,Actinomycetales-Corynebacteriaceae,Subgingival_plaque|Corynebacteriaceae-Corynebacterium,Subgingival-plaque,Corynebacteriaceae-Corynebacterium,None,None,None,None,"0,0700274159",None,None,None,"2,42E-17","0,0119614","2,18E-17","0,272221","0,246997",nan,nan,nan,nan,copresence,nan,nan,nan,"2,42E-16","7,92E-15","9,62E-14",3,3,0,,,
Supragingival_plaque|Actinomycetales-Corynebacteriaceae,Supragingival-plaque,Actinomycetales-Corynebacteriaceae,Tongue_dorsum|Lactobacillales-Streptococcaceae,Tongue-dorsum,Lactobacillales-Streptococcaceae,None,None,None,None,None,None,None,None,"1,99E-18","0,0127323","1,17E-18","0,015418","0,0136819",nan,nan,nan,nan,nan,nan,nan,nan,"1,99E-17","4,97E-16","9,09E-15",2,2,,,,0
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Veillonellaceae-Selenomonas,Supragingival-plaque,Veillonellaceae-Selenomonas,"0,0206785065",None,None,None,"0,0192635957",None,None,None,None,"2,11E-05","1,62E-06",NA,"0,0705228",copresence,nan,nan,nan,copresence,nan,nan,nan,"0,000210683","0,0001075954","0,010617903",3,3,,1,,1
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Clostridia-Clostridiales,Supragingival-plaque,Clostridia-Clostridiales,"0,0239206001",None,None,None,None,None,None,None,"6,69E-09","2,11E-05","1,99E-12","0,032826","0,0375933",copresence,nan,nan,nan,nan,nan,nan,nan,"6,69E-08","3,87E-10","7,46E-06",3,3,,,,
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Bacteroidales-unclassified,Supragingival-plaque,Bacteroidales-unclassified,None,None,None,None,"0,0409086353",None,None,None,"6,69E-09",None,"6,30E-09","0,136395",NA,nan,nan,nan,nan,copresence,nan,nan,nan,"6,69E-08","6,80E-07","7,46E-06",2,2,,,,
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Veillonellaceae-unclassified,Supragingival-plaque,Veillonellaceae-unclassified,"0,014586458","0,0868050551",None,None,"0,0138771308",None,None,None,"6,69E-09",None,"5,73E-10","0,149609",NA,copresence,copresence,nan,nan,copresence,nan,nan,nan,"6,69E-08","7,56E-08","7,46E-06",4,4,,,,
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Clostridiales-Veillonellaceae,Supragingival-plaque,Clostridiales-Veillonellaceae,None,None,None,None,None,None,None,None,"6,69E-09","0,00112261","2,00E-10","0,0493114","0,052946",nan,nan,nan,nan,nan,nan,nan,nan,"6,69E-08","2,91E-08","7,46E-06",2,2,,,,0
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Fusobacteriaceae-Fusobacterium,Supragingival-plaque,Fusobacteriaceae-Fusobacterium,"0,017315029",None,None,None,"0,0076571446",None,None,None,None,"2,11E-05","6,00E-07",NA,"0,102813",copresence,nan,nan,nan,copresence,nan,nan,nan,"0,000210683","4,45E-05","0,010617903",3,3,,,,1
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Firmicutes-Clostridia,Supragingival-plaque,Firmicutes-Clostridia,"0,0220752206",None,None,None,None,None,None,None,"6,69E-09","0,000585511","4,18E-11","0,114164","0,11287",copresence,nan,nan,nan,nan,nan,nan,nan,"6,69E-08","6,71E-09","7,46E-06",3,3,,,,
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Fusobacteriales-Fusobacteriaceae,Supragingival-plaque,Fusobacteriales-Fusobacteriaceae,"0,0176757903",None,None,None,"0,0081367031",None,None,None,"6,69E-09","2,11E-05","2,08E-13","0,213036","0,18459",copresence,nan,nan,nan,copresence,nan,nan,nan,"6,69E-08","4,57E-11","7,46E-06",4,4,,,,
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Flavobacteriaceae-unclassified,Supragingival-plaque,Flavobacteriaceae-unclassified,None,None,None,None,None,None,None,None,"6,69E-09","2,11E-05","4,31E-12","-0,0347674","-0,0440856",nan,nan,nan,nan,nan,nan,nan,nan,"6,69E-08","8,00E-10","7,46E-06",2,-2,,,,0
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Lachnospiraceae-Catonella,Supragingival-plaque,Lachnospiraceae-Catonella,None,None,None,None,"0,018391105","0,0430103288",None,None,None,"2,11E-05","2,99E-06",NA,"0,168798",nan,nan,nan,nan,copresence,copresence,nan,nan,"0,000210683","0,0001869952","0,010617903",3,3,,,,1
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Subgingival_plaque|Bacteroidales-Prevotellaceae,Subgingival-plaque,Bacteroidales-Prevotellaceae,None,None,None,None,"0,0839329755",None,None,None,"9,15E-07",None,"1,33E-06","0,0915803",NA,nan,nan,nan,nan,copresence,nan,nan,nan,"9,15E-06","9,10E-05","0,0006718863",2,2,,0,,
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Subgingival_plaque|Prevotellaceae-Prevotella,Subgingival-plaque,Prevotellaceae-Prevotella,None,None,None,None,"0,08430409",None,None,None,"6,39E-07",None,"9,56E-07","0,115084",NA,nan,nan,nan,nan,copresence,nan,nan,nan,"6,39E-06","6,79E-05","0,0004881587",2,2,1,,,
Supragingival_plaque|Prevotellaceae-Prevotella,Supragingival-plaque,Prevotellaceae-Prevotella,Supragingival_plaque|Veillonellaceae-Dialister,Supragingival-plaque,Veillonellaceae-Dialister,"0,0038552216",None,None,None,None,None,None,None,"6,69E-09","2,11E-05","3,55E-13","0,061277","0,191642",copresence,nan,nan,nan,nan,nan,nan,nan,"6,69E-08","7,62E-11","7,46E-06",3,3,0,1,,
Anterior_nares|Lachnospiraceae-unclassified,Anterior-nares,Lachnospiraceae-unclassified,Anterior_nares|Clostridiales-unclassified,Anterior-nares,Clostridiales-unclassified,None,None,None,None,None,None,None,None,"0,016034","2,24E-06","6,51E-07","0,0403219","0,69544",nan,nan,nan,nan,nan,nan,nan,nan,"2,24E-05","4,79E-05","0,0015008322",2,2,,,,0
Anterior_nares|Lachnospiraceae-unclassified,Anterior-nares,Lachnospiraceae-unclassified,Anterior_nares|Clostridiales-Ruminococcaceae,Anterior-nares,Clostridiales-Ruminococcaceae,None,None,None,None,None,"0,0032821904",None,None,None,"2,24E-06","1,45E-07",NA,"0,0253231",nan,nan,nan,nan,nan,copresence,nan,nan,"2,24E-05","1,22E-05","0,0015008322",2,2,,,,1
Anterior_nares|Lachnospiraceae-unclassified,Anterior-nares,Lachnospiraceae-unclassified,Anterior_nares|Bacteria-Bacteroidetes,Anterior-nares,Bacteria-Bacteroidetes,None,None,None,None,None,"0,0296667461",None,None,None,"2,24E-06","1,16E-06",NA,"0,147669",nan,nan,nan,nan,nan,copresence,nan,nan,"2,24E-05","8,06E-05","0,0015008322",2,2,,,,
Subgingival_plaque|Pasteurellaceae-unclassified,Subgingival-plaque,Pasteurellaceae-unclassified,Supragingival_plaque|Bacteria-Proteobacteria,Supragingival-plaque,Bacteria-Proteobacteria,None,None,None,None,None,None,None,None,"1,90E-13","1,86E-08","1,69E-19","0,102585","0,0605804",nan,nan,nan,nan,nan,nan,nan,nan,"1,90E-12","8,07E-17","4,57E-10",2,2,,0,,0
Subgingival_plaque|Pasteurellaceae-unclassified,Subgingival-plaque,Pasteurellaceae-unclassified,Supragingival_plaque|Pasteurellaceae-unclassified,Supragingival-plaque,Pasteurellaceae-unclassified,"0,0112173046","0,3323229602",None,None,"0,0190498297","0,2617927719",None,None,"1,90E-13","7,83E-10","2,14E-20","0,612981","0,271305",copresence,mutualExclusion,nan,nan,copresence,mutualExclusion,nan,nan,"1,90E-12","1,13E-17","4,57E-10",6,2,1,,,1
Subgingival_plaque|Pasteurellaceae-unclassified,Subgingival-plaque,Pasteurellaceae-unclassified,Supragingival_plaque|Pasteurellales-Pasteurellaceae,Supragingival-plaque,Pasteurellales-Pasteurellaceae,"0,0230740368","0,2313867164",None,None,"0,0269656159","0,2175495214",None,None,"4,78E-24","7,83E-10","4,61E-30","0,135321","0,395808",copresence,mutualExclusion,nan,nan,copresence,mutualExclusion,nan,nan,"4,78E-23","6,38E-27","4,27E-20",6,2,0,,,
Subgingival_plaque|Pasteurellaceae-unclassified,Subgingival-plaque,Pasteurellaceae-unclassified,Supragingival_plaque|Pasteurellaceae-Pasteurella,Supragingival-plaque,Pasteurellaceae-Pasteurella,None,None,None,None,None,None,None,None,"1,90E-13","7,83E-10","7,62E-21","0,0371638","0,0592282",nan,nan,nan,nan,nan,nan,nan,nan,"1,90E-12","4,26E-18","4,57E-10",2,2,,,,0
Subgingival_plaque|Pasteurellaceae-unclassified,Subgingival-plaque,Pasteurellaceae-unclassified,Subgingival_plaque|Pasteurellaceae-Actinobacillus,Subgingival-plaque,Pasteurellaceae-Actinobacillus,"0,0140695488","0,0608367615",None,None,"0,0255480494",None,None,None,"3,28E-15",None,"1,10E-15","0,377297",NA,copresence,copresence,nan,nan,copresence,nan,nan,nan,"3,28E-14","3,22E-13","9,80E-12",4,4,,1,,1
Subgingival_plaque|Pasteurellaceae-unclassified,Subgingival-plaque,Pasteurellaceae-unclassified,Supragingival_plaque|Proteobacteria-Gammaproteobacteria,Supragingival-plaque,Proteobacteria-Gammaproteobacteria,"0,0292419857","0,2254980601",None,None,"0,0353528434","0,1951760524",None,None,"1,80E-19","1,02E-08","1,41E-24","0,127093","0,238679",copresence,mutualExclusion,nan,nan,copresence,mutualExclusion,nan,nan,"1,80E-18","1,18E-21","9,56E-16",6,2,,0,,
Subgingival_plaque|Pasteurellaceae-unclassified,Subgingival-plaque,Pasteurellaceae-unclassified,Subgingival_plaque|Lactobacillales-unclassified,Subgingival-plaque,Lactobacillales-unclassified,None,None,None,None,None,None,None,None,"3,28E-15","0,0166595","2,10E-15","0,040222","0,136735",nan,nan,nan,nan,nan,nan,nan,nan,"3,28E-14","5,87E-13","9,80E-12",2,2,,1,,0
Subgingival_plaque|Pasteurellaceae-unclassified,Subgingival-plaque,Pasteurellaceae-unclassified,Subgingival_plaque|Pasteurellaceae-Haemophilus,Subgingival-plaque,Pasteurellaceae-Haemophilus,None,None,None,None,"0,0412352172",None,None,None,"3,28E-15",None,"5,08E-15","0,0772914",NA,nan,nan,nan,nan,copresence,nan,nan,nan,"3,28E-14","1,33E-12","9,80E-12",2,2,,,,1
Supragingival_plaque|Actinomycetaceae-Actinomyces,Supragingival-plaque,Actinomycetaceae-Actinomyces,Subgingival_plaque|Bacteria-Bacteroidetes,Subgingival-plaque,Bacteria-Bacteroidetes,None,None,None,None,"0,0002756766",0,None,None,None,None,"1,29E-201",NA,NA,nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,0,"8,19E-197",0,2,-2,,0,0,
Supragingival_plaque|Actinomycetaceae-Actinomyces,Supragingival-plaque,Actinomycetaceae-Actinomyces,Subgingival_plaque|Lactobacillales-Streptococcaceae,Subgingival-plaque,Lactobacillales-Streptococcaceae,None,None,None,None,None,None,None,None,"1,32E-13","3,89E-09","2,57E-20","0,0791429","0,0889413",nan,nan,nan,nan,nan,nan,nan,nan,"1,32E-12","1,34E-17","3,22E-10",2,2,,,1,0
Supragingival_plaque|Actinomycetaceae-Actinomyces,Supragingival-plaque,Actinomycetaceae-Actinomyces,Supragingival_plaque|Bacteria-Bacteroidetes,Supragingival-plaque,Bacteria-Bacteroidetes,None,None,None,None,"0,0004326439","3,68E-05",None,None,None,None,"3,02E-07",NA,NA,nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"0,0003679934","2,39E-05","0,0171970536",2,-2,,1,0,1
Supragingival_plaque|Actinomycetaceae-Actinomyces,Supragingival-plaque,Actinomycetaceae-Actinomyces,Supragingival_plaque|Flavobacteriales-Flavobacteriaceae,Supragingival-plaque,Flavobacteriales-Flavobacteriaceae,None,None,None,None,"0,0016105654","8,92E-05",None,None,None,None,"2,41E-06",NA,NA,nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"0,0008917172","0,0001549633","0,036249402",2,-2,,,,
Supragingival_plaque|Actinomycetaceae-Actinomyces,Supragingival-plaque,Actinomycetaceae-Actinomyces,Supragingival_plaque|Flavobacteria-Flavobacteriales,Supragingival-plaque,Flavobacteria-Flavobacteriales,None,None,None,None,"0,0014342257","9,11E-05",None,None,None,None,"2,20E-06",NA,NA,nan,nan,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"0,0009112336","0,000143164","0,0369658265",2,-2,,,,
Supragingival_plaque|Actinomycetaceae-Actinomyces,Supragingival-plaque,Actinomycetaceae-Actinomyces,Subgingival_plaque|Actinomycetaceae-Actinomyces,Subgingival-plaque,Actinomycetaceae-Actinomyces,None,"0,2802117353",None,None,"0,0170020204","0,4597757495",None,None,"8,88E-08","3,89E-09","1,05E-13","0,403938","0,535111",nan,mutualExclusion,nan,nan,copresence,mutualExclusion,nan,nan,"3,89E-08","2,40E-11","4,55E-06",5,1,1,0,1,
Supragingival_plaque|Actinomycetaceae-Actinomyces,Supragingival-plaque,Actinomycetaceae-Actinomyces,Subgingival_plaque|Bacteroidales-Porphyromonadaceae,Subgingival-plaque,Bacteroidales-Porphyromonadaceae,None,None,None,None,None,None,None,None,"8,88E-08","0,0175012","3,31E-08","-0,00905337","-0,0437423",nan,nan,nan,nan,nan,nan,nan,nan,"8,88E-07","3,14E-06","8,04E-05",2,-2,0,,,0
Throat|Erysipelotrichaceae-Solobacterium,Throat,Erysipelotrichaceae-Solobacterium,Throat|Pasteurellaceae-unclassified,Throat,Pasteurellaceae-unclassified,None,None,None,None,None,None,None,None,"9,34E-10","0,00478018","1,21E-10","-0,0226505","-0,0671114",nan,nan,nan,nan,nan,nan,nan,nan,"9,34E-09","1,80E-08","1,23E-06",2,-2,,1,,
Throat|Erysipelotrichaceae-Solobacterium,Throat,Erysipelotrichaceae-Solobacterium,Throat|TM7generaincertaesedis-unclassified,Throat,TM7generaincertaesedis-unclassified,"0,0043919449",None,None,None,None,None,None,None,"8,45E-10",None,"1,01E-10","0,1789",NA,copresence,nan,nan,nan,nan,nan,nan,nan,"8,45E-09","1,53E-08","1,13E-06",2,2,,,,1
Throat|Erysipelotrichaceae-Solobacterium,Throat,Erysipelotrichaceae-Solobacterium,Saliva|Erysipelotrichaceae-Solobacterium,Saliva,Erysipelotrichaceae-Solobacterium,"0,0130643814",None,None,None,None,None,None,None,"3,40E-06",None,"7,96E-07","0,0541022",NA,copresence,nan,nan,nan,nan,nan,nan,nan,"3,40E-05","5,74E-05","0,0021707345",2,2,1,0,,
Throat|Erysipelotrichaceae-Solobacterium,Throat,Erysipelotrichaceae-Solobacterium,Throat|Erysipelotrichaceae-unclassified,Throat,Erysipelotrichaceae-unclassified,None,None,None,None,None,None,None,None,"8,45E-10","0,00478018","1,10E-10","0,0133995","0,023262",nan,nan,nan,nan,nan,nan,nan,nan,"8,45E-09","1,65E-08","1,13E-06",2,2,0,1,,0
Throat|Erysipelotrichaceae-Solobacterium,Throat,Erysipelotrichaceae-Solobacterium,Throat|Lachnospiraceae-Moryella,Throat,Lachnospiraceae-Moryella,"0,0031521816",None,None,None,None,None,None,None,"8,45E-10","0,00478018","6,93E-12","0,0659733","0,221849",copresence,nan,nan,nan,nan,nan,nan,nan,"8,45E-09","1,24E-09","1,13E-06",3,3,,,,1
Subgingival_plaque|Burkholderiales-unclassified,Subgingival-plaque,Burkholderiales-unclassified,Supragingival_plaque|Burkholderiales-unclassified,Supragingival-plaque,Burkholderiales-unclassified,"0,0102861752","0,3465687125",None,None,"0,0188103972","0,2608260982",None,None,"1,42E-22","0,000960991","3,17E-23","0,435153","0,229948",copresence,mutualExclusion,nan,nan,copresence,mutualExclusion,nan,nan,"1,42E-21","2,36E-20","1,11E-18",6,2,1,0,,
Subgingival_plaque|Burkholderiales-unclassified,Subgingival-plaque,Burkholderiales-unclassified,Supragingival_plaque|Betaproteobacteria-unclassified,Supragingival-plaque,Betaproteobacteria-unclassified,"0,0354278234",None,None,None,None,None,None,None,"1,73E-22","0,000324368","3,88E-24","-0,0166308","-0,0252204",copresence,nan,nan,nan,nan,nan,nan,nan,"1,73E-21","3,13E-21","1,35E-18",3,-1,0,,,
Subgingival_plaque|Burkholderiales-unclassified,Subgingival-plaque,Burkholderiales-unclassified,Subgingival_plaque|Aerococcaceae-Abiotrophia,Subgingival-plaque,Aerococcaceae-Abiotrophia,None,None,None,None,None,None,None,None,"3,53E-06","0,000187942","1,47E-08","0,100995","0,0763923",nan,nan,nan,nan,nan,nan,nan,nan,"3,53E-05","1,47E-06","0,002249278",2,2,,1,,0
Subgingival_plaque|Burkholderiales-unclassified,Subgingival-plaque,Burkholderiales-unclassified,Supragingival_plaque|Betaproteobacteria-Burkholderiales,Supragingival-plaque,Betaproteobacteria-Burkholderiales,"0,0156723823","0,3365045067",None,None,"0,0206647165",None,None,None,"1,87E-24","0,000236903","5,74E-26","0,372266","0,133755",copresence,mutualExclusion,nan,nan,copresence,nan,nan,nan,"1,87E-23","5,30E-23","1,72E-20",5,3,,0,,1
Subgingival_plaque|Burkholderiales-unclassified,Subgingival-plaque,Burkholderiales-unclassified,Subgingival_plaque|Betaproteobacteria-unclassified,Subgingival-plaque,Betaproteobacteria-unclassified,None,None,None,None,None,None,None,None,"1,67E-07","1,72E-07","9,21E-13","0,319834","0,403555",nan,nan,nan,nan,nan,nan,nan,nan,"8,59E-07","1,88E-10","7,79E-05",2,2,,1,,0
L_Antecubital_fossa|Intrasporangiaceae-Janibacter,L-Antecubital-fossa,Intrasporangiaceae-Janibacter,R_Antecubital_fossa|Intrasporangiaceae-Janibacter,R-Antecubital-fossa,Intrasporangiaceae-Janibacter,None,None,None,None,None,None,None,None,"0,0358001","2,42E-06","1,50E-06","1,17157","0,336153",nan,nan,nan,nan,nan,nan,nan,nan,"2,42E-05","0,0001004797","0,0016094698",2,2,1,0,,
Saliva|Fusobacteria-Fusobacteriales,Saliva,Fusobacteria-Fusobacteriales,Tongue_dorsum|Bacteria-Firmicutes,Tongue-dorsum,Bacteria-Firmicutes,"0,0001361031","6,21E-12",None,None,None,None,None,None,None,None,"3,02E-14",NA,NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"6,21E-11","7,35E-12","1,21E-08",2,-2,0,,0,1
Saliva|Fusobacteria-Fusobacteriales,Saliva,Fusobacteria-Fusobacteriales,Tongue_dorsum|Streptococcaceae-Streptococcus,Tongue-dorsum,Streptococcaceae-Streptococcus,"0,0001979562","1,92E-13",None,None,None,None,None,None,None,None,"1,47E-15",NA,NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"1,92E-12","4,23E-13","4,61E-10",2,-2,,,,
Saliva|Fusobacteria-Fusobacteriales,Saliva,Fusobacteria-Fusobacteriales,Hard_palate|Clostridiales-Peptococcaceae,Hard-palate,Clostridiales-Peptococcaceae,None,None,None,None,None,None,None,None,"7,34E-07","1,73E-05","3,31E-10","0,43161","0,00965821",nan,nan,nan,nan,nan,nan,nan,nan,"7,34E-06","4,62E-08","0,0005510756",2,2,,,1,0
Saliva|Fusobacteria-Fusobacteriales,Saliva,Fusobacteria-Fusobacteriales,Saliva|Flavobacteriales-Flavobacteriaceae,Saliva,Flavobacteriales-Flavobacteriaceae,None,None,None,None,None,None,None,None,"9,00E-14","0,000128562","4,63E-16","0,15748","0,0531131",nan,nan,nan,nan,nan,nan,nan,nan,"9,00E-13","1,43E-13","2,25E-10",2,2,,1,,
Saliva|Fusobacteria-Fusobacteriales,Saliva,Fusobacteria-Fusobacteriales,Tongue_dorsum|Bacilli-Lactobacillales,Tongue-dorsum,Bacilli-Lactobacillales,"0,0001881571","2,77E-13",None,None,None,None,None,None,None,None,"2,01E-15",NA,NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"2,77E-12","5,61E-13","6,57E-10",2,-2,,0,0,1
