1.880357 	 108541.336431 	 0.223098 	 1 	 1 	 376.86 	 - 		 [2, 3, 16, 57, 89, 93, 99, 110, 126, 178] - [8]
1.306056 	 107920.949921 	 0.231592 	 1 	 2 	 126.01 	 + 		 [9, 33, 56, 98, 116, 148, 152, 166, 187]
1.082617 	 107180.537251 	 0.398265 	 1 	 3 	 116.81 	 - 		 [8, 35, 87, 151, 172] - [100]
0.978804 	 106704.051369 	 0.217511 	 2 	 3 	 126.86 	 - 		 [2, 3, 62, 78, 82, 85, 89, 164] - [87]
0.928785 	 106116.350255 	 0.299435 	 2 	 3 	 121.99 	 + 		 [96, 98, 103, 115, 166]
0.928019 	 105671.732089 	 0.200564 	 2 	 4 	 116.20 	 + 		 [19, 27, 59, 91, 118, 155, 176]
0.902592 	 105237.583999 	 0.203363 	 3 	 4 	 116.63 	 - 		 [2, 3, 29, 63, 89, 122, 141, 153, 184] - [8]
0.795695 	 104703.378578 	 0.279661 	 3 	 5 	 120.07 	 + 		 [28, 53, 102, 144]
0.706135 	 104137.365740 	 0.251412 	 3 	 6 	 115.49 	 + 		 [74, 75, 130]
0.604910 	 103763.171633 	 0.262694 	 3 	 7 	 114.75 	 + 		 [64, 76, 101, 181]
0.549199 	 103477.559206 	 0.211801 	 4 	 7 	 120.20 	 + 		 [2, 3, 61, 84, 89, 122, 149, 170]
0.445851 	 103243.609295 	 0.203405 	 7 	 6 	 128.68 	 + 		 [7, 9, 63, 127, 141, 152, 184]
0.434646 	 103000.714114 	 0.220264 	 8 	 6 	 452.94 	 - 		 [2, 3, 45, 57, 89, 154, 196] - [87]
0.341784 	 102822.584723 	 0.209039 	 8 	 7 	 21.08 	 + 		 [21, 22, 43, 88, 132]
0.327602 	 102627.063146 	 0.251339 	 8 	 7 	 8.37 	 - 		 [8, 26, 35, 87, 140] - [89]
0.247358 	 102379.854436 	 0.223164 	 8 	 8 	 8.18 	 + 		 [30, 135]
0.243868 	 102228.206919 	 0.231631 	 8 	 8 	 8.28 	 - 		 [19, 83, 91, 118, 134] - [139]
0.236867 	 101886.753853 	 0.457460 	 8 	 8 	 10.70 	 - 		 [8, 35, 87] - [3]
0.236686 	 101735.947548 	 0.234447 	 8 	 7 	 8.26 	 + 		 [59, 70, 101, 176]
0.233325 	 101477.246963 	 0.285311 	 8 	 8 	 7.66 	 + 		 [192, 194]
