13 14 16 17 22 23 41 73 147
7 8 9 10 11 21 25 36
13 16 59 60 63 69 70 147
65 66 71 73 147
4 32 38 39
11 16 18 20 23 147
6 8 14 21 43 147
26 47 48 136
2 3 8 10 11 17 147
14 16 40 41 78 147
