0.258570     39074.001363    0.245750    1   1   1.70    [70, 125]
0.256374     37705.683098    0.248295    2   1   1.10    [70, 126]
0.253540     36556.465226    0.197740    2   2   0.90    [29, 72]
0.249014     35489.526332    0.184514    2   3   0.86    [11, 108]
0.247358     34327.162206    0.223233    2   4   1.04    [65, 170]
0.246283     33283.257762    0.194915    2   5   0.91    [2, 190]
0.245794     31213.568739    0.366768    2   6   0.90    [85, 97]
0.243293     29249.871094    0.364407    2   6   0.90    [85, 104]
0.242473     28318.752080    0.158155    2   7   0.99    [127, 186]
0.241374     27403.276137    0.154040    2   8   0.96    [103, 149]
0.240228     26503.454614    0.152542    2   9   1.00    [12, 195]
0.240228     25603.633091    0.151540    2   10      1.02    [39, 128]
0.240036     23390.787214    0.383645    2   11      1.01    [19, 124]
0.238602     22545.007667    0.153731    2   11      1.05    [12, 177]
0.236503     20252.070988    0.401463    2   12      1.15    [24, 141]
0.235404     19433.017326    0.155154    4   11      1.13    [39, 195]
0.235029     17107.921111    0.407123    4   12      1.26    [98, 147]
0.233750     16286.562700    0.135999    4   13      1.27    [87, 163]
0.233325     14920.935357    0.284326    4   14      1.31    [6, 8]
0.226349     12417.565880    0.427491    4   15      1.36    [22, 90]
0.226349     9914.196403     0.435948    4   16      1.30    [101, 107]
0.221283     7334.943346     0.431573    4   15      1.30    [22, 101]
0.220412     6639.951277     0.117678    4   16      1.34    [9, 71]
0.220412     5944.959209     0.115819    4   17      1.32    [31, 55]
0.220412     5249.967141     0.115819    4   18      1.36    [26, 86]
0.219084     4574.834528     0.117874    4   18      1.39    [31, 194]
0.217758     3899.416149     0.119680    4   17      1.57    [9, 26]
0.216413     3236.213318     0.110169    4   18      1.55    [92, 129]
0.215456     2575.514318     0.129944    4   19      1.58    [145, 153]
0.212977     753.920639      0.437007    4   19      1.56    [74, 90]
0.207519     -2097.682474    0.495457    4   20      1.66    [28, 49]
0.207519     -4949.285586    0.497662    4   21      1.65    [113, 165]
0.207519     -7800.888698    0.497318    4   22      1.67    [59, 137]
0.207519     -10652.491811   0.499639    4   23      1.69    [34, 102]
0.207519     -13504.094923   0.497996    4   24      1.66    [13, 167]
0.205672     -15195.530455   0.375574    4   24      1.71    [56, 98]
0.205034     -17939.875271   0.494719    4   24      1.76    [16, 59]
0.204614     -18574.950435   0.135593    4   24      1.88    [127, 150]
0.203064     -21232.626179   0.496340    4   25      1.83    [197, 198]
0.203064     -23890.301922   0.497175    4   26      1.82    [30, 139]
0.202515     -24457.538742   0.093220    4   27      1.91    [62, 131]
0.199890     -25008.681580   0.088079    4   28      1.91    [25, 33]
0.198656     -27492.873779   0.497319    4   29      1.88    [82, 181]
0.197651     -28059.044507   0.118643    4   29      1.92    [10, 87]
0.196228     -30475.453874   0.493446    4   29      1.94    [113, 192]
0.194294     -32806.888357   0.491525    4   30      1.95    [60, 174]
0.194294     -35138.322841   0.491525    4   31      1.96    [68, 178]
0.192967     -35694.684380   0.118292    4   32      1.99    [15, 166]
0.192951     -37968.231283   0.499198    4   32      1.99    [111, 197]
0.189978     -40166.498230   0.488990    4   33      2.04    [48, 191]
0.188762     -41154.141102   0.194733    4   32      2.01    [108, 125]
0.184701     -42490.415577   0.316984    4   32      2.12    [19, 136]
0.181944     -42944.264190   0.073446    4   33      2.09    [41, 123]
0.181085     -44322.647697   0.328402    4   33      2.14    [24, 45]
0.177306     -46214.927890   0.480586    4   34      2.20    [84, 144]
0.172150     -46652.961872   0.094115    4   34      2.24    [10, 58]
0.171337     -47057.609742   0.064972    4   35      2.24    [93, 154]
0.169732     -48320.752803   0.282305    4   35      2.24    [56, 172]
0.169425     -49017.525374   0.168858    4   36      2.25    [67, 79]
0.167229     -50742.222999   0.475593    4   36      2.26    [109, 181]
0.163545     -51113.822760   0.059049    4   37      2.28    [183, 187]
0.163545     -51485.422521   0.058125    4   38      2.31    [100, 161]
0.163545     -51857.022282   0.057943    4   39      2.30    [88, 110]
0.162786     -52215.847283   0.058016    4   39      2.28    [152, 183]
0.162026     -52561.762390   0.058826    4   38      2.44    [88, 152]
0.158198     -53010.420401   0.105412    4   38      2.45    [103, 140]
0.155102     -53348.745922   0.053505    4   39      2.46    [83, 185]
0.146391     -53661.339615   0.054718    4   38      2.50    [83, 100]
0.145764     -54997.406931   0.432207    4   39      2.50    [189, 199]
0.145540     -55382.718751   0.090395    4   39      2.48    [15, 54]
0.142248     -55948.433895   0.144068    4   39      2.57    [67, 148]
0.141532     -57721.181522   0.456757    4   39      2.54    [82, 173]
0.141160     -59156.107107   0.454583    4   38      2.58    [144, 191]
0.139457     -58393.162084   0.082060    4   38      2.70    [184, 192]
0.134400     -59687.334336   0.449153    4   39      2.67    [122, 138]
0.129317     -60922.410736   0.443788    4   40      2.71    [73, 193]
0.127203     -62144.110828   0.443503    4   41      2.73    [47, 78]
0.124020     -62913.118210   0.202919    4   41      2.71    [21, 190]
0.122074     -63210.964974   0.070878    4   42      2.79    [1, 168]
0.114224     -63535.072552   0.077376    4   42      2.83    [103, 164]
0.110711     -64670.999320   0.442684    6   41      2.91    [184, 197]
0.110284     -65497.835246   0.218848    6   41      3.59    [63, 141]
0.109967     -66036.192833   0.146893    6   41      3.57    [8, 176]
0.108244     -67093.550717   0.433234    6   41      3.58    [13, 52]
0.104807     -66478.223087   0.101758    6   41      3.65    [36, 49]
0.100262     -66839.864236   0.172316    6   41      3.64    [65, 133]
0.098557     -67806.764599   0.423104    6   41      3.59    [16, 171]
0.098178     -67579.502835   0.103675    7   41      3.95    [143, 165]
0.097757     -68478.842832   0.296610    7   41      4.71    [73, 121]
0.095361     -69581.481615   0.414927    7   40      4.83    [34, 167]
0.094023     -70510.298181   0.415247    7   41      4.93    [66, 117]
0.092661     -69470.363129   0.109625    8   41      5.60    [118, 192]
0.092252     -69687.918206   0.053672    8   41      7.31    [114, 168]
0.092151     -70523.765543   0.176250    8   41      7.39    [40, 124]
0.090964     -71427.807219   0.412429    8   42      7.42    [112, 179]
0.090860     -71866.622100   0.110533    11      41      27.38   [49, 111]
0.084170     -70701.817929   0.114505    12      41      157.11      [116, 165]
0.085815     -70478.361082   0.116415    13      41      516.24      [115, 192]
0.084000     -71159.932358   0.305085    13      41      955.91      [132, 189]
0.083341     -71499.317651   0.090926    13      40      969.47      [25, 125]
