0.0 53429.726044 0.0 0 0 0.0 0.0 []
0.460042 	 47489.438932 	 0.104523 	 1 	 1 	 478.27 	 33.703004 	 [13, 14, 16, 17, 22, 23, 41, 73] - [147]
0.385953 	 47330.266214 	 0.110167 	 1 	 2 	 93.73 	 53.463529 	 [7, 8, 9, 10, 11, 21, 25, 36]
0.342594 	 47184.820525 	 0.112995 	 2 	 2 	 79.03 	 60.916493 	 [13, 16, 59, 60, 63, 69, 70] - [147]
0.280406 	 47053.238064 	 0.135598 	 3 	 2 	 82.95 	 40.227947 	 [65, 66, 71, 73] - [147]
0.203603 	 46959.610287 	 0.112994 	 3 	 3 	 81.62 	 26.764591 	 [4, 32, 38, 39]
0.199904 	 46869.628047 	 0.115827 	 5 	 2 	 83.06 	 17.651754 	 [11, 16, 18, 20, 23] - [147]
0.185909 	 46789.116805 	 0.107347 	 6 	 2 	 99.98 	 15.424504 	 [6, 8, 14, 21, 43] - [147]
0.150352 	 46709.485059 	 0.132768 	 6 	 3 	 134.39 	 18.738639 	 [26, 47, 48] - [136]
0.143567 	 46645.112607 	 0.104519 	 7 	 3 	 84.55 	 14.581164 	 [2, 3, 8, 10, 11, 17] - [147]
0.138511 	 46579.654929 	 0.107345 	 8 	 3 	 267.22 	 15.462481 	 [14, 16, 40, 41, 78] - [147]
